scorer,normalized_scorer
"oak","athletics"
"a's","athletics"
"oakland","athletics"
"cha","white sox"
"white sox","white sox"
"chisox","white sox"
"wsox","white sox"
"w.sox","white sox"
"kc","royals"
"sln","cardinals"
"cards","cardinals"
"cin","reds"
"cle","indians"
"cleveland","indians"
"atl","braves"
"tex","rangers"
"texas","rangers"
"chn","cubs"
"det","tigers"
"phi","phillies"
"nya","yankees"
"yanks","yankees"
"k.c. royals","royals"
"min","twins"
"minnesota","twins"
"hou","astros"
"houston","astros"
"bal","orioles"
"baltimore","orioles"
"la","dodgers"
"lan","dodgers"
"brooklyn","dodgers"
"sd","padres"
"sdn","padres"
"nym","mets"
"montreal expos","expos"
"sf","giants"
"sfn","giants"
"roth","allan roth"
"a.lewis","allen lewis"
"a. lewis","allen lewis"
"""allen lewis""","allen lewis"
"lewis","allen lewis"
"zminda","don zminda"
"""don zminda""","don zminda"
